manejo	cam	tens	rept	umid	dens	respen
2	0.35-0.40	6	6	0.23		
2	0.40-0.45	0	1	0.36	1.54	0.94
2	0.40-0.45	0	2	0.34	1.53	0.69
2	0.40-0.45	0	3	0.32	1.56	0.98
2	0.40-0.45	0	4	0.37	1.49	0.48
2	0.40-0.45	0	5	0.35	1.57	1.13
2	0.40-0.45	0	6	0.42	1.50	1.14
2	0.40-0.45	6	1	0.18		
2	0.40-0.45	6	2	0.22		
2	0.40-0.45	6	3	0.15		
2	0.40-0.45	6	4	0.21		
2	0.40-0.45	6	5	0.19		
2	0.40-0.45	6	6	0.22		
3	0-0.05	0	1	0.33	1.54	0.38
3	0-0.05	0	2	0.32	1.44	0.39
3	0-0.05	0	3	0.37	1.63	1.37
3	0-0.05	0	4	0.41	1.31	1.14
3	0-0.05	0	5	0.40	1.46	0.57
3	0-0.05	0	6	0.40	1.46	0.80
3	0-0.05	6	1	0.10		
3	0-0.05	6	2	0.05		
3	0-0.05	6	3	0.21		
3	0-0.05	6	4	0.16		
3	0-0.05	6	5	0.26		
3	0-0.05	6	6	0.23		
3	0.05-0.10	0	1	0.33	1.54	1.30
3	0.05-0.10	0	2	0.35	1.69	1.71
3	0.05-0.10	0	3	0.39	1.53	1.01
3	0.05-0.10	0	4	0.34	1.65	1.03
3	0.05-0.10	0	5	0.34	1.57	0.66
3	0.05-0.10	0	6	0.39	1.54	0.50
3	0.05-0.10	6	1	0.10		
3	0.05-0.10	6	2	0.09		
3	0.05-0.10	6	3	0.14		
3	0.05-0.10	6	4	0.22		
3	0.05-0.10	6	5	0.24		
3	0.05-0.10	6	6	0.25		
3	0.10-0.15	0	1	0.40	1.54	0.63
3	0.10-0.15	0	2	0.31	1.71	1.39
3	0.10-0.15	0	3	0.36	1.61	1.15
3	0.10-0.15	0	4	0.32	1.64	0.39
3	0.10-0.15	0	5	0.33	1.58	0.74
3	0.10-0.15	0	6	0.35	1.66	0.73
3	0.10-0.15	6	1	0.21		
3	0.10-0.15	6	2	0.19		
3	0.10-0.15	6	3	0.15		
3	0.10-0.15	6	4	0.17		
3	0.10-0.15	6	5	0.18		
3	0.10-0.15	6	6	0.24		
3	0.15-0.20	0	1	0.40	1.55	0.58
3	0.15-0.20	0	2	0.38	1.54	0.73
3	0.15-0.20	0	3	0.33	1.61	0.88
3	0.15-0.20	0	4	0.35	1.59	0.73
3	0.15-0.20	0	5	0.33	1.66	0.93
3	0.15-0.20	0	6	0.29	1.71	1.62
3	0.15-0.20	6	1	0.20		
3	0.15-0.20	6	2	0.17		
3	0.15-0.20	6	3	0.17		
3	0.15-0.20	6	4	0.28		
3	0.15-0.20	6	5	0.24		
3	0.15-0.20	6	6	0.22		
3	0.20-0.25	0	1	0.40	1.53	0.63
3	0.20-0.25	0	2	0.34	1.62	0.83
3	0.20-0.25	0	3	0.38	1.55	0.84
3	0.20-0.25	0	4	0.35	1.57	0.26
3	0.20-0.25	0	5	0.33	1.64	2.18
3	0.20-0.25	0	6	0.35	1.66	1.00
3	0.20-0.25	6	1	0.19		
3	0.20-0.25	6	2	0.20		
3	0.20-0.25	6	3	0.16		
3	0.20-0.25	6	4	0.17		
3	0.20-0.25	6	5	0.21		
3	0.20-0.25	6	6	0.23		
3	0.25-0.30	0	1	0.40	1.50	0.61
3	0.25-0.30	0	2	0.34	1.60	0.84
3	0.25-0.30	0	3	0.35	1.62	1.25
3	0.25-0.30	0	4	0.34	1.55	0.81
3	0.25-0.30	0	5	0.33	1.67	3.13
3	0.25-0.30	0	6	0.37	1.57	0.78
3	0.25-0.30	6	1	0.19		
3	0.25-0.30	6	2	0.19		
3	0.25-0.30	6	3	0.17		
3	0.25-0.30	6	4	0.20		
3	0.25-0.30	6	5	0.22		
3	0.25-0.30	6	6	0.23		
3	0.30-0.35	0	1	0.36	1.48	0.43
3	0.30-0.35	0	2	0.37	1.57	0.76
3	0.30-0.35	0	3	0.40	1.48	0.54
3	0.30-0.35	0	4	0.37	1.59	1.87
3	0.30-0.35	0	5	0.34	1.67	2.87
3	0.30-0.35	0	6	0.37	1.57	0.51
3	0.30-0.35	6	1	0.15		
3	0.30-0.35	6	2	0.21		
3	0.30-0.35	6	3	0.17		
3	0.30-0.35	6	4	0.15		
3	0.30-0.35	6	5	0.23		
3	0.30-0.35	6	6	0.27		
3	0.35-0.40	0	1	0.36	1.56	0.98
3	0.35-0.40	0	2	0.35	1.63	0.96
3	0.35-0.40	0	3	0.37	1.45	0.49
3	0.35-0.40	0	4	0.38	1.44	1.05
3	0.35-0.40	0	5	0.35	1.58	1.43
3	0.35-0.40	0	6	0.39	1.47	0.64
3	0.35-0.40	6	1	0.21		
3	0.35-0.40	6	2	0.21		
3	0.35-0.40	6	3	0.13		
3	0.35-0.40	6	4	0.15		
3	0.35-0.40	6	5	0.20		
3	0.35-0.40	6	6	0.24		
3	0.40-0.45	0	1	0.39	1.53	0.68
3	0.40-0.45	0	2	0.55	1.52	1.02
3	0.40-0.45	0	3	0.26	1.44	0.35
3	0.40-0.45	0	4	0.43	1.46	0.56
3	0.40-0.45	0	5	0.34	1.63	1.23
3	0.40-0.45	0	6	0.36	1.56	0.85
3	0.40-0.45	6	1	0.24		
3	0.40-0.45	6	2	0.46		
3	0.40-0.45	6	3	0.09		
3	0.40-0.45	6	4	0.20		
3	0.40-0.45	6	5	0.23		
3	0.40-0.45	6	6	0.26		
4	0-0.05	0	1	0.42	1.48	0.55
4	0-0.05	0	2	0.35	1.56	1.73
4	0-0.05	0	3	0.36	1.59	1.64
4	0-0.05	0	4	0.31	1.71	2.02
4	0-0.05	0	5	0.40	1.53	0.60
4	0-0.05	0	6	0.31	1.46	0.37
4	0-0.05	6	1	0.19		
4	0-0.05	6	2	0.22		
4	0-0.05	6	3	0.19		
4	0-0.05	6	4	0.24		
4	0-0.05	6	5	0.26		
4	0-0.05	6	6	0.15		
4	0.05-0.10	0	1	0.33	1.74	1.99
4	0.05-0.10	0	2	0.35	1.64	1.26
4	0.05-0.10	0	3	0.36	1.59	0.77
4	0.05-0.10	0	4	0.32	1.58	0.87
4	0.05-0.10	0	5	0.36	1.57	0.71
4	0.05-0.10	0	6	0.37	1.54	1.06
4	0.05-0.10	6	1	0.22		
4	0.05-0.10	6	2	0.20		
4	0.05-0.10	6	3	0.20		
4	0.05-0.10	6	4	0.24		
4	0.05-0.10	6	5	0.18		
4	0.05-0.10	6	6	0.20		
4	0.10-0.15	0	1	0.31	1.66	1.13
4	0.10-0.15	0	2	0.34	1.64	1.02
4	0.10-0.15	0	3	0.36	1.63	1.00
4	0.10-0.15	0	4	0.35	1.51	0.33
4	0.10-0.15	0	5	0.38	1.60	0.60
4	0.10-0.15	0	6	0.39	1.54	0.84
4	0.10-0.15	6	1	0.18		
4	0.10-0.15	6	2	0.18		
4	0.10-0.15	6	3	0.18		
4	0.10-0.15	6	4	0.20		
4	0.10-0.15	6	5	0.21		
4	0.10-0.15	6	6	0.19		
4	0.15-0.20	0	1	0.32	1.66	0.84
4	0.15-0.20	0	2	0.33	1.63	0.78
4	0.15-0.20	0	3	0.34	1.64	0.92
4	0.15-0.20	0	4	0.35	1.68	0.67
4	0.15-0.20	0	5	0.40	1.53	0.46
4	0.15-0.20	0	6	0.39	1.65	0.70
4	0.15-0.20	6	1	0.19		
4	0.15-0.20	6	2	0.19		
4	0.15-0.20	6	3	0.21		
4	0.15-0.20	6	4	0.25		
4	0.15-0.20	6	5	0.25		
4	0.15-0.20	6	6	0.22		
4	0.20-0.25	0	1	0.33	1.65	1.26
4	0.20-0.25	0	2	0.36	1.63	0.79
4	0.20-0.25	0	3	0.29	1.65	0.59
4	0.20-0.25	0	4	0.33	1.68	1.00
4	0.20-0.25	0	5	0.37	1.56	0.35
4	0.20-0.25	0	6	0.41	1.55	0.31
4	0.20-0.25	6	1	0.20		
4	0.20-0.25	6	2	0.20		
4	0.20-0.25	6	3	0.15		
4	0.20-0.25	6	4	0.20		
4	0.20-0.25	6	5	0.25		
4	0.20-0.25	6	6	0.21		
4	0.25-0.30	0	1	0.31	1.65	1.41
4	0.25-0.30	0	2	0.36	1.58	0.80
4	0.25-0.30	0	3	0.36	1.61	0.47
4	0.25-0.30	0	4	0.39	1.51	0.50
4	0.25-0.30	0	5	0.36	1.55	0.83
4	0.25-0.30	0	6	0.36	1.65	0.57
4	0.25-0.30	6	1	0.22		
4	0.25-0.30	6	2	0.20		
4	0.25-0.30	6	3	0.25		
4	0.25-0.30	6	4	0.22		
4	0.25-0.30	6	5	0.17		
4	0.25-0.30	6	6	0.23		
4	0.30-0.35	0	1	0.33	1.56	0.93
4	0.30-0.35	0	2	0.40	1.50	0.56
4	0.30-0.35	0	3	0.39	1.49	0.51
4	0.30-0.35	0	4	0.39	1.49	0.57
4	0.30-0.35	0	5	0.37	1.52	1.61
4	0.30-0.35	0	6	0.39	1.55	0.49
4	0.30-0.35	6	1	0.22		
4	0.30-0.35	6	2	0.21		
4	0.30-0.35	6	3	0.20		
4	0.30-0.35	6	4	0.20		
4	0.30-0.35	6	5	0.18		
4	0.30-0.35	6	6	0.21		
4	0.35-0.40	0	1	0.32	1.63	1.29
4	0.35-0.40	0	2	0.37	1.56	0.65
4	0.35-0.40	0	3	0.36	1.54	0.54
4	0.35-0.40	0	4	0.34	1.60	0.85
4	0.35-0.40	0	5	0.37	1.55	0.73
4	0.35-0.40	0	6	0.36	1.59	0.85
4	0.35-0.40	6	1	0.24		
4	0.35-0.40	6	2	0.23		
4	0.35-0.40	6	3	0.26		
4	0.35-0.40	6	4	0.23		
4	0.35-0.40	6	5	0.21		
4	0.35-0.40	6	6	0.22		
4	0.40-0.45	0	1	0.32	1.63	1.05
4	0.40-0.45	0	2	0.33	1.70	0.79
4	0.40-0.45	0	3	0.35	1.58	0.99
4	0.40-0.45	0	4	0.35	1.56	1.10
4	0.40-0.45	0	5	0.39	1.49	0.49
4	0.40-0.45	0	6	0.40	1.44	0.55
4	0.40-0.45	6	1	0.25		
4	0.40-0.45	6	2	0.19		
4	0.40-0.45	6	3	0.21		
4	0.40-0.45	6	4	0.23		
4	0.40-0.45	6	5	0.22		
4	0.40-0.45	6	6	0.21		
